,full_name,county,state,r2_adj,per_rmse,sig,r2_score,error_score,sig_score,overall_score,sampleSize,intercept,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x1_c,x2_c,x3_c,x4_c,x5_c,x6_c,x7_c,x8_c,x9_c,x10_c,x11_c,x12_c,x13_c,x14_c
Hughes County-Oklahoma,Hughes County-Oklahoma,Hughes County,Oklahoma,0.67463491,0.215295739,3.22E-05,1,1,3,5,17,-4.732480923,pct-af-am,,,,,,,,,,,,,,1.366120727,,,,,,,,,,,,,
Wasco County-Oregon,Wasco County-Oregon,Wasco County,Oregon,0.672026567,0.163954325,3.42E-05,1,1,3,5,17,-9.908406795,pct-white,,,,,,,,,,,,,,0.148723548,,,,,,,,,,,,,
Seneca County-Ohio,Seneca County-Ohio,Seneca County,Ohio,0.671510069,0.240527892,6.24E-05,1,1,3,5,16,53.46552178,pct-white,,,,,,,,,,,,,,-0.563376953,,,,,,,,,,,,,
Newton County-Georgia,Newton County-Georgia,Newton County,Georgia,0.670661506,0.181051604,6.36E-05,1,1,3,5,16,-9.312432273,median-property-value,,,,,,,,,,,,,,0.000177197,,,,,,,,,,,,,
Kennebec County-Maine,Kennebec County-Maine,Kennebec County,Maine,0.670635819,0.145185244,0.000114699,1,1,3,5,15,-7.65099706,renter-occupied-households,,,,,,,,,,,,,,0.000690775,,,,,,,,,,,,,
Lynchburg city-Virginia,Lynchburg city-Virginia,Lynchburg city,Virginia,0.669961018,0.158952596,0.015054531,1,1,3,5,7,-61.15682934,renter-occupied-households,,,,,,,,,,,,,,0.006627897,,,,,,,,,,,,,
Jackson County-Minnesota,Jackson County-Minnesota,Jackson County,Minnesota,0.669775615,0.822932547,3.61E-05,1,0,3,4,17,-2.903572247,renter-occupied-households,,,,,,,,,,,,,,0.003037651,,,,,,,,,,,,,
Noble County-Indiana,Noble County-Indiana,Noble County,Indiana,0.668985432,0.198116472,6.59E-05,1,1,3,5,16,-4.946492864,median-gross-rent,,,,,,,,,,,,,,0.014007975,,,,,,,,,,,,,
York County-Pennsylvania,York County-Pennsylvania,York County,Pennsylvania,0.668516168,0.291186123,3.71E-05,1,1,3,5,17,24.2517387,renter-occupied-households,,,,,,,,,,,,,,-0.000513684,,,,,,,,,,,,,
Fort Bend County-Texas,Fort Bend County-Texas,Fort Bend County,Texas,0.668407456,0.084197977,6.68E-05,1,1,3,5,16,-0.322696629,pct-am-ind,,,,,,,,,,,,,,21.08988764,,,,,,,,,,,,,
Pickaway County-Ohio,Pickaway County-Ohio,Pickaway County,Ohio,0.667947488,0.081654027,6.74E-05,1,1,3,5,16,13.07613665,poverty-rate,,,,,,,,,,,,,,-0.981791354,,,,,,,,,,,,,
Bedford County-Virginia,Bedford County-Virginia,Bedford County,Virginia,0.666813224,0.093469312,0.005047903,1,1,3,5,11,12.93643544,population,pct-af-am,,,,,,,,,,,,,2.35E-07,-1.38141677,,,,,,,,,,,,
Lampasas County-Texas,Lampasas County-Texas,Lampasas County,Texas,0.66633769,0.465774624,3.91E-05,1,0,3,4,17,5.171938915,renter-occupied-households,,,,,,,,,,,,,,-0.002438717,,,,,,,,,,,,,
Simpson County-Mississippi,Simpson County-Mississippi,Simpson County,Mississippi,0.666132382,0.448209287,3.92E-05,1,0,3,4,17,8.589694724,renter-occupied-households,,,,,,,,,,,,,,-0.003286001,,,,,,,,,,,,,
Dickson County-Tennessee,Dickson County-Tennessee,Dickson County,Tennessee,0.666018839,0.254536544,0.000958169,1,1,3,5,14,6.564191695,pct-nh-pi,renter-occupied-households,,,,,,,,,,,,,21.30456044,-0.000980268,,,,,,,,,,,,
Orange County-Texas,Orange County-Texas,Orange County,Texas,0.665936588,0.141307025,0.005101238,1,1,3,5,11,101.148422,population,pct-af-am,,,,,,,,,,,,,-0.000527838,-6.493114554,,,,,,,,,,,,
Raleigh County-West Virginia,Raleigh County-West Virginia,Raleigh County,West Virginia,0.664796502,0.110952636,0.000415522,1,1,3,5,13,-15.2813522,rent-burden,,,,,,,,,,,,,,0.72552229,,,,,,,,,,,,,
Cortland County-New York,Cortland County-New York,Cortland County,New York,0.66393219,0.359240971,0.005224775,1,0,3,4,11,-3.119642857,median-gross-rent,pct-other,,,,,,,,,,,,,0.004761905,1.416666667,,,,,,,,,,,,
Greene County-Georgia,Greene County-Georgia,Greene County,Georgia,0.663231268,0.725525551,0.000237926,1,0,3,4,14,14.08758354,population,,,,,,,,,,,,,,-0.000860318,,,,,,,,,,,,,
Mason County-Michigan,Mason County-Michigan,Mason County,Michigan,0.662682532,0.169821501,0.000134536,1,1,3,5,15,16.11082685,renter-occupied-households,,,,,,,,,,,,,,-0.004759014,,,,,,,,,,,,,
Crisp County-Georgia,Crisp County-Georgia,Crisp County,Georgia,0.662247226,0.693350686,0.000340355,1,0,3,4,16,-2.873457799,pct-nh-pi,renter-occupied-households,,,,,,,,,,,,,10.01638091,0.00079289,,,,,,,,,,,,
Clare County-Michigan,Clare County-Michigan,Clare County,Michigan,0.661015808,0.184665045,0.000601722,1,1,3,5,15,-6.350915357,pct-renter-occupied,pct-asian,,,,,,,,,,,,,0.588364793,-10.00765025,,,,,,,,,,,,
Marion County-Alabama,Marion County-Alabama,Marion County,Alabama,0.659674299,0.286124827,4.55E-05,1,1,3,5,17,-1.723959861,renter-occupied-households,,,,,,,,,,,,,,0.000649622,,,,,,,,,,,,,
Alleghany County-North Carolina,Alleghany County-North Carolina,Alleghany County,North Carolina,0.659555027,0.478930272,8.07E-05,1,0,3,4,16,-5.772640677,renter-occupied-households,,,,,,,,,,,,,,0.005658498,,,,,,,,,,,,,
Houston County-Tennessee,Houston County-Tennessee,Houston County,Tennessee,0.65842071,0.936578542,4.68E-05,1,0,3,4,17,3.611964829,median-property-value,,,,,,,,,,,,,,-3.89E-05,,,,,,,,,,,,,
Jones County-Georgia,Jones County-Georgia,Jones County,Georgia,0.656882179,0.390792802,8.54E-05,1,0,3,4,16,13.07525395,pct-multiple,,,,,,,,,,,,,,-14.03254258,,,,,,,,,,,,,
Pima County-Arizona,Pima County-Arizona,Pima County,Arizona,0.65636879,0.083365914,0.00022218,1,1,3,5,17,12.56775729,pct-nh-pi,renter-occupied-households,,,,,,,,,,,,,-27.73632443,-2.48E-05,,,,,,,,,,,,
Scotland County-North Carolina,Scotland County-North Carolina,Scotland County,North Carolina,0.656119386,0.212521577,8.67E-05,1,1,3,5,16,227.7402943,population,,,,,,,,,,,,,,-0.006195874,,,,,,,,,,,,,
Gillespie County-Texas,Gillespie County-Texas,Gillespie County,Texas,0.654926793,0.301851639,0.000228789,1,1,3,5,17,-0.662738185,pct-af-am,renter-occupied-households,,,,,,,,,,,,,3.530545828,0.000271611,,,,,,,,,,,,
Johnson County-Texas,Johnson County-Texas,Johnson County,Texas,0.654241711,0.312300429,9.02E-05,1,1,3,5,16,11.29301341,renter-occupied-households,,,,,,,,,,,,,,-0.000719587,,,,,,,,,,,,,
Bosque County-Texas,Bosque County-Texas,Bosque County,Texas,0.653321262,0.290445815,5.24E-05,1,1,3,5,17,-0.024476992,pct-am-ind,,,,,,,,,,,,,,2.238489309,,,,,,,,,,,,,
Parker County-Texas,Parker County-Texas,Parker County,Texas,0.653289204,0.224521038,5.25E-05,1,1,3,5,17,7.753917877,renter-occupied-households,,,,,,,,,,,,,,-0.000627586,,,,,,,,,,,,,
Clark County-Nevada,Clark County-Nevada,Clark County,Nevada,0.652769918,0.112357662,5.31E-05,1,1,3,5,17,12.9847824,renter-occupied-households,,,,,,,,,,,,,,-2.29E-05,,,,,,,,,,,,,
Bernalillo County-New Mexico,Bernalillo County-New Mexico,Bernalillo County,New Mexico,0.652231025,0.113593186,0.000241597,1,1,3,5,17,16.90385082,pct-multiple,renter-occupied-households,,,,,,,,,,,,,1.364648283,-0.000140844,,,,,,,,,,,,
Preble County-Ohio,Preble County-Ohio,Preble County,Ohio,0.652032225,0.184203187,9.44E-05,1,1,3,5,16,0.384670959,pct-af-am,,,,,,,,,,,,,,3.103361946,,,,,,,,,,,,,
Wood County-West Virginia,Wood County-West Virginia,Wood County,West Virginia,0.651952007,0.101611689,0.000291732,1,1,3,5,14,-1.246358541,median-gross-rent,,,,,,,,,,,,,,0.00924251,,,,,,,,,,,,,
Dallas County-Iowa,Dallas County-Iowa,Dallas County,Iowa,0.651487461,0.10423893,0.010369523,1,1,3,5,10,4.013663498,population,pct-af-am,,,,,,,,,,,,,-2.08E-05,-1.168727319,,,,,,,,,,,,
Chambers County-Texas,Chambers County-Texas,Chambers County,Texas,0.651454516,0.435867412,0.00051872,1,0,3,4,13,-3.372921608,pct-hispanic,,,,,,,,,,,,,,0.339064066,,,,,,,,,,,,,
Pratt County-Kansas,Pratt County-Kansas,Pratt County,Kansas,0.650263883,0.411760038,5.61E-05,1,0,3,4,17,-5.553019677,median-household-income,,,,,,,,,,,,,,0.000164322,,,,,,,,,,,,,
Bath County-Kentucky,Bath County-Kentucky,Bath County,Kentucky,0.64988456,0.632869973,5.66E-05,0,0,3,3,17,4.288694355,median-property-value,,,,,,,,,,,,,,-5.64E-05,,,,,,,,,,,,,
Fulton County-Kentucky,Fulton County-Kentucky,Fulton County,Kentucky,0.649738511,0.453809999,0.000253982,0,0,3,3,17,-4.006559313,pct-renter-occupied,pct-multiple,,,,,,,,,,,,,0.11059054,0.419979212,,,,,,,,,,,,
Lumpkin County-Georgia,Lumpkin County-Georgia,Lumpkin County,Georgia,0.648318732,0.130649605,0.009749798,0,1,3,4,8,-1.358362848,pct-am-ind,,,,,,,,,,,,,,6.584568124,,,,,,,,,,,,,
Alameda County-California,Alameda County-California,Alameda County,California,0.648231579,0.14741093,5.87E-05,0,1,3,4,17,9.254008436,pct-renter-occupied,,,,,,,,,,,,,,-0.177517888,,,,,,,,,,,,,
Ashe County-North Carolina,Ashe County-North Carolina,Ashe County,North Carolina,0.647877451,0.290651659,0.000102865,0,1,3,4,16,-3.445411968,renter-occupied-households,,,,,,,,,,,,,,0.001855724,,,,,,,,,,,,,
Kings County-New York,Kings County-New York,Kings County,New York,0.647853501,0.248050738,5.92E-05,0,1,3,4,17,5.429823,pct-asian,,,,,,,,,,,,,,-0.386186149,,,,,,,,,,,,,
Ramsey County-Minnesota,Ramsey County-Minnesota,Ramsey County,Minnesota,0.647589102,0.286196836,0.000180347,0,1,3,4,15,39.64020569,population,,,,,,,,,,,,,,-7.31E-05,,,,,,,,,,,,,
Big Horn County-Montana,Big Horn County-Montana,Big Horn County,Montana,0.646824971,0.392616711,6.05E-05,0,0,3,3,17,2.734330778,pct-multiple,,,,,,,,,,,,,,-0.970541416,,,,,,,,,,,,,
Dearborn County-Indiana,Dearborn County-Indiana,Dearborn County,Indiana,0.646807515,0.40179272,0.009882452,0,0,3,3,8,-9.589114506,median-household-income,,,,,,,,,,,,,,0.000208337,,,,,,,,,,,,,
Yuba County-California,Yuba County-California,Yuba County,California,0.64680709,0.118453842,0.000183045,0,1,3,4,15,6.017683591,median-household-income,,,,,,,,,,,,,,-6.98E-05,,,,,,,,,,,,,
Mahoning County-Ohio,Mahoning County-Ohio,Mahoning County,Ohio,0.645961217,0.201039613,0.000106968,0,1,3,4,16,-0.025961666,pct-multiple,,,,,,,,,,,,,,2.137216046,,,,,,,,,,,,,
Butler County-Missouri,Butler County-Missouri,Butler County,Missouri,0.645732798,0.174118656,0.000186809,0,1,3,4,15,-7.414237165,renter-occupied-households,,,,,,,,,,,,,,0.001653815,,,,,,,,,,,,,
Walker County-Texas,Walker County-Texas,Walker County,Texas,0.644063068,0.117691766,0.010126598,0,1,3,4,8,7.63004221,poverty-rate,,,,,,,,,,,,,,-0.353575634,,,,,,,,,,,,,
Johnson County-Indiana,Johnson County-Indiana,Johnson County,Indiana,0.643660245,0.150624572,0.000588298,0,1,3,4,13,8.558635226,poverty-rate,,,,,,,,,,,,,,-0.846735263,,,,,,,,,,,,,
Natrona County-Wyoming,Natrona County-Wyoming,Natrona County,Wyoming,0.643205992,0.601819261,0.000195924,0,0,3,3,15,-3.50034615,renter-occupied-households,,,,,,,,,,,,,,0.000423076,,,,,,,,,,,,,
Jackson County-West Virginia,Jackson County-West Virginia,Jackson County,West Virginia,0.643108228,0.175564704,0.003211508,0,1,3,4,10,-9.548749575,median-property-value,,,,,,,,,,,,,,0.000111745,,,,,,,,,,,,,
Pierce County-Washington,Pierce County-Washington,Pierce County,Washington,0.641381949,0.175140434,6.81E-05,0,1,3,4,17,7.28323597,renter-occupied-households,,,,,,,,,,,,,,-5.23E-05,,,,,,,,,,,,,
Owsley County-Kentucky,Owsley County-Kentucky,Owsley County,Kentucky,0.640827011,0.561363964,0.000302818,0,0,3,3,17,-0.160333333,pct-hispanic,pct-nh-pi,,,,,,,,,,,,,0.897619048,22.00238095,,,,,,,,,,,,
Grand Traverse County-Michigan,Grand Traverse County-Michigan,Grand Traverse County,Michigan,0.639942921,0.184773911,0.003332129,0,1,3,4,10,10.32830331,renter-occupied-households,,,,,,,,,,,,,,-0.00086493,,,,,,,,,,,,,
Mitchell County-North Carolina,Mitchell County-North Carolina,Mitchell County,North Carolina,0.639801064,0.386794311,0.000517088,0,0,3,3,16,-3.716543708,pct-other,renter-occupied-households,,,,,,,,,,,,,-11.56739242,0.003108685,,,,,,,,,,,,
Manitowoc County-Wisconsin,Manitowoc County-Wisconsin,Manitowoc County,Wisconsin,0.639603478,0.109070926,7.07E-05,0,1,3,4,17,0.439237668,pct-multiple,,,,,,,,,,,,,,1.255605381,,,,,,,,,,,,,
Elko County-Nevada,Elko County-Nevada,Elko County,Nevada,0.638953603,0.195589742,0.005949992,0,1,3,4,9,3.85301472,median-property-value,,,,,,,,,,,,,,-1.53E-05,,,,,,,,,,,,,
Lancaster County-Pennsylvania,Lancaster County-Pennsylvania,Lancaster County,Pennsylvania,0.638791582,0.291803093,7.20E-05,0,1,3,4,17,12.52098485,renter-occupied-households,,,,,,,,,,,,,,-0.00017618,,,,,,,,,,,,,
Grundy County-Illinois,Grundy County-Illinois,Grundy County,Illinois,0.638385801,0.170909412,0.000124606,0,1,3,4,16,-2.762450204,rent-burden,,,,,,,,,,,,,,0.194419605,,,,,,,,,,,,,
Butler County-Alabama,Butler County-Alabama,Butler County,Alabama,0.638161155,0.281794132,7.29E-05,0,1,3,4,17,-2.669049059,renter-occupied-households,,,,,,,,,,,,,,0.001473414,,,,,,,,,,,,,
Athens County-Ohio,Athens County-Ohio,Athens County,Ohio,0.637295557,0.217669761,0.000127341,0,1,3,4,16,2.441331121,rent-burden,,,,,,,,,,,,,,-0.040634218,,,,,,,,,,,,,
Shawnee County-Kansas,Shawnee County-Kansas,Shawnee County,Kansas,0.637151956,0.106076001,0.000127705,0,1,3,4,16,6.483039578,pct-am-ind,,,,,,,,,,,,,,-2.948021108,,,,,,,,,,,,,
Curry County-New Mexico,Curry County-New Mexico,Curry County,New Mexico,0.633274049,0.108255374,8.09E-05,0,1,3,4,17,4.102392871,pct-nh-pi,,,,,,,,,,,,,,-11.709708,,,,,,,,,,,,,
Winnebago County-Wisconsin,Winnebago County-Wisconsin,Winnebago County,Wisconsin,0.630947814,0.081778539,8.49E-05,0,1,3,4,17,1.255627376,pct-other,,,,,,,,,,,,,,17.79087452,,,,,,,,,,,,,
Hancock County-Maine,Hancock County-Maine,Hancock County,Maine,0.628130526,0.312337141,0.00015247,0,1,3,4,16,-2.820427059,renter-occupied-households,,,,,,,,,,,,,,0.000571077,,,,,,,,,,,,,
Logan County-Oklahoma,Logan County-Oklahoma,Logan County,Oklahoma,0.627734075,0.130926105,9.08E-05,0,1,3,4,17,-1.915791346,renter-occupied-households,,,,,,,,,,,,,,0.00135231,,,,,,,,,,,,,
Autauga County-Alabama,Autauga County-Alabama,Autauga County,Alabama,0.627716242,0.250095483,9.09E-05,0,1,3,4,17,-11.42779939,pct-af-am,,,,,,,,,,,,,,0.713681083,,,,,,,,,,,,,
Pottawattamie County-Iowa,Pottawattamie County-Iowa,Pottawattamie County,Iowa,0.627188442,0.144041594,0.000155281,0,1,3,4,16,6.965160172,pct-hispanic,,,,,,,,,,,,,,-0.522325915,,,,,,,,,,,,,
Pontotoc County-Oklahoma,Pontotoc County-Oklahoma,Pontotoc County,Oklahoma,0.626314504,0.096207593,0.000157929,0,1,3,4,16,-7.831662273,pct-renter-occupied,,,,,,,,,,,,,,0.304203426,,,,,,,,,,,,,
Tyler County-Texas,Tyler County-Texas,Tyler County,Texas,0.625667731,0.988999695,0.000404443,0,0,3,3,17,-1.512389317,pct-renter-occupied,renter-occupied-households,,,,,,,,,,,,,-0.025164115,0.001503984,,,,,,,,,,,,
Johnson County-Tennessee,Johnson County-Tennessee,Johnson County,Tennessee,0.625051487,0.297915187,9.60E-05,0,1,3,4,17,-6.027668401,renter-occupied-households,,,,,,,,,,,,,,0.004809252,,,,,,,,,,,,,
Freeborn County-Minnesota,Freeborn County-Minnesota,Freeborn County,Minnesota,0.624705369,0.663462972,0.000675241,0,0,3,3,16,-6.741644423,rent-burden,pct-am-ind,,,,,,,,,,,,,0.186886025,14.66284289,,,,,,,,,,,,
Sumner County-Tennessee,Sumner County-Tennessee,Sumner County,Tennessee,0.624165386,0.199166747,9.78E-05,0,1,3,4,17,4.069443369,pct-nh-pi,,,,,,,,,,,,,,-29.90561471,,,,,,,,,,,,,
Avery County-North Carolina,Avery County-North Carolina,Avery County,North Carolina,0.623456861,0.490324453,0.000166864,0,0,3,3,16,-3.704640167,renter-occupied-households,,,,,,,,,,,,,,0.0028444,,,,,,,,,,,,,
Cumberland County-Pennsylvania,Cumberland County-Pennsylvania,Cumberland County,Pennsylvania,0.621194757,0.191774583,0.000103908,0,1,3,4,17,7.219457107,renter-occupied-households,,,,,,,,,,,,,,-0.000209706,,,,,,,,,,,,,
San Miguel County-Colorado,San Miguel County-Colorado,San Miguel County,Colorado,0.616412188,0.376252028,0.000114495,0,0,3,3,17,1.892347556,pct-other,,,,,,,,,,,,,,-3.522285682,,,,,,,,,,,,,
Starke County-Indiana,Starke County-Indiana,Starke County,Indiana,0.61420356,0.242043244,0.000119695,0,1,3,4,17,1.739333333,pct-nh-pi,,,,,,,,,,,,,,-34.39333333,,,,,,,,,,,,,
Washburn County-Wisconsin,Washburn County-Wisconsin,Washburn County,Wisconsin,0.613713078,0.301496052,0.000120878,0,1,3,4,17,2.877328693,median-gross-rent,,,,,,,,,,,,,,-0.003547618,,,,,,,,,,,,,
Bronx County-New York,Bronx County-New York,Bronx County,New York,0.613491919,0.100466895,0.013141406,0,1,3,4,8,-10.90215117,pct-hispanic,,,,,,,,,,,,,,0.313603955,,,,,,,,,,,,,
Webster Parish-Louisiana,Webster Parish-Louisiana,Webster Parish,Louisiana,0.613376335,0.160001075,0.001572501,0,1,3,4,12,-0.76029355,median-property-value,,,,,,,,,,,,,,2.98E-05,,,,,,,,,,,,,
York County-Virginia,York County-Virginia,York County,Virginia,0.613329605,0.162039375,0.00056067,0,1,3,4,14,0.466714532,pct-multiple,,,,,,,,,,,,,,1.257610569,,,,,,,,,,,,,
Lancaster County-Nebraska,Lancaster County-Nebraska,Lancaster County,Nebraska,0.612075378,0.057677995,0.000206951,0,1,3,4,16,10.80694463,pct-renter-occupied,,,,,,,,,,,,,,-0.206520923,,,,,,,,,,,,,
Oconee County-Georgia,Oconee County-Georgia,Oconee County,Georgia,0.611595567,0.189756093,0.002707981,0,1,3,4,11,-3.246428998,pct-af-am,,,,,,,,,,,,,,0.959224875,,,,,,,,,,,,,
Hale County-Texas,Hale County-Texas,Hale County,Texas,0.611419758,0.126575825,0.000578133,0,1,3,4,14,-1.781737589,pct-af-am,,,,,,,,,,,,,,0.588035387,,,,,,,,,,,,,
Duval County-Florida,Duval County-Florida,Duval County,Florida,0.611255512,0.100208819,0.000126958,0,1,3,4,17,13.0148399,poverty-rate,,,,,,,,,,,,,,-0.589700269,,,,,,,,,,,,,
Rockwall County-Texas,Rockwall County-Texas,Rockwall County,Texas,0.610630403,0.281103287,0.000532832,0,1,3,4,17,12.58021709,poverty-rate,median-property-value,,,,,,,,,,,,,-0.937973585,-3.26E-05,,,,,,,,,,,,
San Patricio County-Texas,San Patricio County-Texas,San Patricio County,Texas,0.610580991,0.197617996,0.002741431,0,1,3,4,11,3.079777193,median-gross-rent,,,,,,,,,,,,,,-0.002631604,,,,,,,,,,,,,
Murray County-Georgia,Murray County-Georgia,Murray County,Georgia,0.610396086,0.21587005,0.004635847,0,1,3,4,10,33.79781579,median-household-income,,,,,,,,,,,,,,-0.000820529,,,,,,,,,,,,,
Umatilla County-Oregon,Umatilla County-Oregon,Umatilla County,Oregon,0.61005558,0.223155185,0.000214876,0,1,3,4,16,-13.39474333,pct-af-am,,,,,,,,,,,,,,21.50924025,,,,,,,,,,,,,
Dauphin County-Pennsylvania,Dauphin County-Pennsylvania,Dauphin County,Pennsylvania,0.609697362,0.282285203,0.000130951,0,1,3,4,17,11.74545569,pct-multiple,,,,,,,,,,,,,,-3.75800731,,,,,,,,,,,,,
Lee County-Georgia,Lee County-Georgia,Lee County,Georgia,0.609510857,0.950726343,0.000217058,0,0,3,3,16,-6.508351323,renter-occupied-households,,,,,,,,,,,,,,0.003207611,,,,,,,,,,,,,
Weber County-Utah,Weber County-Utah,Weber County,Utah,0.607793951,0.147607155,0.001443461,0,1,3,4,15,8.205401062,poverty-rate,renter-occupied-households,,,,,,,,,,,,,-0.410448948,-0.000122481,,,,,,,,,,,,
Cherokee County-Kansas,Cherokee County-Kansas,Cherokee County,Kansas,0.606875087,0.417661544,0.000138464,0,0,3,3,17,10.20604766,population,,,,,,,,,,,,,,-0.000446963,,,,,,,,,,,,,
Mecklenburg County-North Carolina,Mecklenburg County-North Carolina,Mecklenburg County,North Carolina,0.606579226,0.136134091,0.001035231,0,1,3,4,13,15.4592551,pct-multiple,,,,,,,,,,,,,,-3.623816743,,,,,,,,,,,,,
McPherson County-Kansas,McPherson County-Kansas,McPherson County,Kansas,0.606056597,0.350585156,0.000140713,0,0,3,3,17,53.68318731,population,,,,,,,,,,,,,,-0.001805261,,,,,,,,,,,,,
Clayton County-Georgia,Clayton County-Georgia,Clayton County,Georgia,0.605887594,0.091656434,0.000141181,0,1,3,4,17,-1.461450508,pct-af-am,,,,,,,,,,,,,,0.161252609,,,,,,,,,,,,,
McDowell County-North Carolina,McDowell County-North Carolina,McDowell County,North Carolina,0.604939537,0.216982746,0.000143833,0,1,3,4,17,1.58046277,pct-nh-pi,,,,,,,,,,,,,,18.85560195,,,,,,,,,,,,,
Harrison County-Mississippi,Harrison County-Mississippi,Harrison County,Mississippi,0.604667601,0.148085451,0.000144601,0,1,3,4,17,-29.37302662,population,,,,,,,,,,,,,,0.000186823,,,,,,,,,,,,,
Nobles County-Minnesota,Nobles County-Minnesota,Nobles County,Minnesota,0.603297231,0.94897015,0.000607174,0,0,3,3,17,-1.098344546,pct-multiple,renter-occupied-households,,,,,,,,,,,,,0.181407462,0.000455654,,,,,,,,,,,,
Marshall County-Tennessee,Marshall County-Tennessee,Marshall County,Tennessee,0.603267541,0.935050937,0.000148616,0,0,3,3,17,2.331693363,median-gross-rent,,,,,,,,,,,,,,-0.003575006,,,,,,,,,,,,,
Mercer County-Ohio,Mercer County-Ohio,Mercer County,Ohio,0.60260544,0.15002039,0.000404264,0,1,3,4,15,45.80214601,pct-white,,,,,,,,,,,,,,-0.458935579,,,,,,,,,,,,,
Clayton County-Iowa,Clayton County-Iowa,Clayton County,Iowa,0.602564034,0.406782762,0.000150671,0,0,3,3,17,0.605429688,pct-other,,,,,,,,,,,,,,-20.05859375,,,,,,,,,,,,,
Hawaii County-Hawaii,Hawaii County-Hawaii,Hawaii County,Hawaii,0.601904065,0.193574896,0.001831625,0,1,3,4,12,0.556794425,pct-other,,,,,,,,,,,,,,-1.316202091,,,,,,,,,,,,,
Allegheny County-Pennsylvania,Allegheny County-Pennsylvania,Allegheny County,Pennsylvania,0.601710421,0.27026312,0.000153196,0,1,3,4,17,27.29321957,renter-occupied-households,,,,,,,,,,,,,,-0.000129878,,,,,,,,,,,,,
Ashtabula County-Ohio,Ashtabula County-Ohio,Ashtabula County,Ohio,0.600609156,0.142477529,0.000255545,0,1,3,4,16,3.103529624,pct-am-ind,,,,,,,,,,,,,,-7.449421965,,,,,,,,,,,,,
Rains County-Texas,Rains County-Texas,Rains County,Texas,0.600248848,0.330498562,0.000157607,0,1,3,4,17,-2.798399669,pct-hispanic,,,,,,,,,,,,,,0.621945383,,,,,,,,,,,,,
Bracken County-Kentucky,Bracken County-Kentucky,Bracken County,Kentucky,0.600236902,0.743097975,0.000157644,0,0,3,3,17,1.267043576,pct-af-am,,,,,,,,,,,,,,-1.337152517,,,,,,,,,,,,,
Nacogdoches County-Texas,Nacogdoches County-Texas,Nacogdoches County,Texas,0.599437192,0.165560565,0.008720596,0,1,3,4,9,-4.368378722,renter-occupied-households,,,,,,,,,,,,,,0.000534469,,,,,,,,,,,,,
Fayette County-West Virginia,Fayette County-West Virginia,Fayette County,West Virginia,0.599075491,0.191525169,0.000702525,0,1,3,4,14,2.799662464,pct-asian,,,,,,,,,,,,,,-3.875084723,,,,,,,,,,,,,
Silver Bow County-Montana,Silver Bow County-Montana,Silver Bow County,Montana,0.5987508,0.165950716,0.008775933,0,1,3,4,9,-3.195192417,renter-occupied-households,,,,,,,,,,,,,,0.000883114,,,,,,,,,,,,,
Mendocino County-California,Mendocino County-California,Mendocino County,California,0.598137798,0.142542314,0.000164175,0,1,3,4,17,6.18827616,renter-occupied-households,,,,,,,,,,,,,,-0.000349843,,,,,,,,,,,,,
Calhoun County-South Carolina,Calhoun County-South Carolina,Calhoun County,South Carolina,0.593068642,0.541414994,0.015478207,0,0,3,3,8,51.20696968,renter-occupied-households,,,,,,,,,,,,,,-0.036064284,,,,,,,,,,,,,
McHenry County-Illinois,McHenry County-Illinois,McHenry County,Illinois,0.592187309,0.102846102,0.001271891,0,1,3,4,13,-1.161415713,rent-burden,,,,,,,,,,,,,,0.127106756,,,,,,,,,,,,,
Teller County-Colorado,Teller County-Colorado,Teller County,Colorado,0.5916004,0.414011501,0.000186063,0,0,3,3,17,0.631541656,pct-nh-pi,,,,,,,,,,,,,,18.46823846,,,,,,,,,,,,,
Jerome County-Idaho,Jerome County-Idaho,Jerome County,Idaho,0.590808856,0.585795253,0.00018888,0,0,3,3,17,-3.658041663,population,,,,,,,,,,,,,,0.000200896,,,,,,,,,,,,,
Madison Parish-Louisiana,Madison Parish-Louisiana,Madison Parish,Louisiana,0.59060102,1.055666046,0.000189626,0,0,3,3,17,-0.887234194,pct-hispanic,,,,,,,,,,,,,,0.488507149,,,,,,,,,,,,,
Wayne County-Kentucky,Wayne County-Kentucky,Wayne County,Kentucky,0.589255008,0.259518152,0.000194518,0,1,3,4,17,4.182312237,renter-occupied-households,,,,,,,,,,,,,,-0.001393257,,,,,,,,,,,,,
Hood River County-Oregon,Hood River County-Oregon,Hood River County,Oregon,0.58872124,0.233020269,0.000196489,0,1,3,4,17,1.833451974,median-household-income,,,,,,,,,,,,,,-2.49E-05,,,,,,,,,,,,,
Frio County-Texas,Frio County-Texas,Frio County,Texas,0.587899223,0.562753233,0.000792648,0,0,3,3,17,0.806320157,median-gross-rent,pct-other,,,,,,,,,,,,,-0.000642691,-1.541114629,,,,,,,,,,,,
Union County-New Mexico,Union County-New Mexico,Union County,New Mexico,0.586548457,0.430412375,0.000204692,0,0,3,3,17,2.231238418,poverty-rate,,,,,,,,,,,,,,-0.112226476,,,,,,,,,,,,,
Titus County-Texas,Titus County-Texas,Titus County,Texas,0.585549303,0.438700402,0.000208565,0,0,3,3,17,-2.321058728,pct-hispanic,,,,,,,,,,,,,,0.087713163,,,,,,,,,,,,,
